seed;llm;template_id;question_id;source_accuracy;page_accuracy;similarity;open_knowledge;;;
1;gpt-4o;2;8;1;1;0.0374;Yes;;;
1;gpt-4o;2;9;0.5;0;0.5617;Yes;;;
1;gpt-4o;2;10;0.5;0.2;0.5926;Yes;;;
1;gpt-4o;3;1;1;1;0.8464;Yes;;;
1;gpt-4o;3;2;1;0;0.8475;Yes;;;
1;gpt-4o;3;3;0;0;0.7007;Yes;;;
1;gpt-4o;3;4;1;0;0.7441;Yes;;;
1;gpt-4o;3;5;1;0.3333;0.5954;Yes;;;
1;gpt-4o;3;6;1;1;-0.0109;Yes;;;
1;gpt-4o;3;7;1;1;0.0458;Yes;;;
1;gpt-4o;3;8;1;1;0.1107;Yes;;;
1;gpt-4o;3;9;0.5;0;0.664;Yes;;;
1;gpt-4o;3;10;0.5;0.2;0.5648;Yes;;;
1;gpt-4o;4;1;1;1;0.9317;Yes;;;
1;gpt-4o;4;2;1;0;0.8506;Yes;;;
1;gpt-4o;4;3;0;0;0.7346;Yes;;;
1;gpt-4o;4;4;1;0;0.035;Yes;;;
1;gpt-4o;4;5;1;0.3333;0.7105;Yes;;;
1;gpt-4o;4;6;1;1;0.8843;Yes;;;
1;gpt-4o;4;7;1;1;0.8843;Yes;;;
1;gpt-4o;4;8;1;1;0.8843;Yes;;;
1;gpt-4o;4;9;0.5;0;0.5457;Yes;;;
1;gpt-4o;4;10;0.5;0.2;0.0241;Yes;;;
1;gpt-4o;5;1;1;1;0.8563;Yes;;;
1;gpt-4o;5;2;1;0;0.8636;Yes;;;
1;gpt-4o;5;3;0;0;0.644;Yes;;;
1;gpt-4o;5;4;1;0;0.7545;Yes;;;
1;gpt-4o;5;5;1;0.3333;0.6622;Yes;;;
1;gpt-4o;5;6;1;1;-0.004;Yes;;;
1;gpt-4o;5;7;1;1;-0.0177;Yes;;;
1;gpt-4o;5;8;1;1;0.0832;Yes;;;
1;gpt-4o;5;9;0.5;0;0.58;Yes;;;
1;gpt-4o;5;10;0.5;0.2;0.5737;Yes;;;
2;gpt-4o;1;1;1;1;0.8592;No;;;
2;gpt-4o;1;2;1;0;0.7976;No;;;
2;gpt-4o;1;3;0;0;0.6731;No;;;
2;gpt-4o;1;4;1;0;0.7637;No;;;
2;gpt-4o;1;5;1;0.3333;0.6175;No;;;
2;gpt-4o;1;6;1;1;0.2312;No;;;
2;gpt-4o;1;7;1;1;0.1983;No;;;
2;gpt-4o;1;8;1;1;0.2019;No;;;
2;gpt-4o;1;9;0.5;0;0.605;No;;;
2;gpt-4o;1;10;0.5;0.2;0.5747;No;;;
2;gpt-4o;2;1;1;1;0.8722;No;;;
2;gpt-4o;2;2;1;0;0.8349;No;;;
2;gpt-4o;2;3;0;0;0.7015;No;;;
2;gpt-4o;2;4;1;0;0.6808;No;;;
2;gpt-4o;2;5;1;0.3333;0.661;No;;;
2;gpt-4o;2;6;1;1;0.0338;No;;;
2;gpt-4o;2;7;1;1;0.2628;No;;;
2;gpt-4o;2;8;1;1;0.1638;No;;;
2;gpt-4o;2;9;0.5;0;0.5038;No;;;
2;gpt-4o;2;10;0.5;0.2;0.5554;No;;;
2;gpt-4o;3;1;1;1;0.8575;No;;;
2;gpt-4o;3;2;1;0;0.8534;No;;;
2;gpt-4o;3;3;0;0;0.6892;No;;;
2;gpt-4o;3;4;1;0;0.7321;No;;;
2;gpt-4o;3;5;1;0.3333;0.6629;No;;;
2;gpt-4o;3;6;1;1;0.0023;No;;;
2;gpt-4o;3;7;1;1;0.1081;No;;;
2;gpt-4o;3;8;1;1;0.1046;No;;;
2;gpt-4o;3;9;0.5;0;0.6543;No;;;
2;gpt-4o;3;10;0.5;0.2;0.6081;No;;;
2;gpt-4o;4;1;1;1;0.9474;No;;;
2;gpt-4o;4;2;1;0;0.8787;No;;;
2;gpt-4o;4;3;0;0;0.7044;No;;;
2;gpt-4o;4;4;1;0;0.035;No;;;
2;gpt-4o;4;5;1;0.3333;0.6699;No;;;
2;gpt-4o;4;6;1;1;0.8843;No;;;
2;gpt-4o;4;7;1;1;0.8843;No;;;
2;gpt-4o;4;8;1;1;0.8843;No;;;
2;gpt-4o;4;9;0.5;0;0.0457;No;;;
2;gpt-4o;4;10;0.5;0.2;0.0241;No;;;
2;gpt-4o;5;1;1;1;0.8993;No;;;
2;gpt-4o;5;2;1;0;0.8013;No;;;
2;gpt-4o;5;3;0;0;0.7267;No;;;
2;gpt-4o;5;4;1;0;0.7102;No;;;
2;gpt-4o;5;5;1;0.3333;0.6619;No;;;
2;gpt-4o;5;6;1;1;0.0482;No;;;
2;gpt-4o;5;7;1;1;0.0495;No;;;
2;gpt-4o;5;8;1;1;0.1238;No;;;
2;gpt-4o;5;9;0.5;0;0.5905;No;;;
2;gpt-4o;5;10;0.5;0.2;0.5959;No;;;
2;gpt-4o;1;1;1;1;0.8559;Yes;;;
2;gpt-4o;1;2;1;0;0.7926;Yes;;;
2;gpt-4o;1;3;0;0;0.7094;Yes;;;
2;gpt-4o;1;4;1;0;0.7698;Yes;;;
2;gpt-4o;1;5;1;0.3333;0.594;Yes;;;
2;gpt-4o;1;6;1;1;0.0123;Yes;;;
2;gpt-4o;1;7;1;1;0.0105;Yes;;;
2;gpt-4o;1;8;1;1;0.2259;Yes;;;
2;gpt-4o;1;9;0.5;0;0.6264;Yes;;;
2;gpt-4o;1;10;0.5;0.2;0.5516;Yes;;;
2;gpt-4o;2;1;1;1;0.8333;Yes;;;
2;gpt-4o;2;2;1;0;0.7942;Yes;;;
2;gpt-4o;2;3;0;0;0.7226;Yes;;;
2;gpt-4o;2;4;1;0;0.6774;Yes;;;
2;gpt-4o;2;5;1;0.3333;0.6574;Yes;;;
2;gpt-4o;2;6;1;1;0.0202;Yes;;;
2;gpt-4o;2;7;1;1;0.1056;Yes;;;
2;gpt-4o;2;8;1;1;0.0333;Yes;;;
2;gpt-4o;2;9;0.5;0;0.5579;Yes;;;
2;gpt-4o;2;10;0.5;0.2;0.5954;Yes;;;
2;gpt-4o;3;1;1;1;0.8298;Yes;;;
2;gpt-4o;3;2;1;0;0.8552;Yes;;;
2;gpt-4o;3;3;0;0;0.7278;Yes;;;
2;gpt-4o;3;4;1;0;0.6979;Yes;;;
2;gpt-4o;3;5;1;0.3333;0.6324;Yes;;;
2;gpt-4o;3;6;1;1;-0.0206;Yes;;;
2;gpt-4o;3;7;1;1;0.0535;Yes;;;
2;gpt-4o;3;8;1;1;0.0765;Yes;;;
2;gpt-4o;3;9;0.5;0;0.6799;Yes;;;
2;gpt-4o;3;10;0.5;0.2;0.5778;Yes;;;
2;gpt-4o;4;1;1;1;0.9308;Yes;;;
2;gpt-4o;4;2;1;0;0.8322;Yes;;;1
2;gpt-4o;4;3;0;0;0.7444;Yes;;;
2;gpt-4o;4;4;1;0;0.035;Yes;;;
2;gpt-4o;4;5;1;0.3333;0.6699;Yes;;;
2;gpt-4o;4;6;1;1;0.8843;Yes;;;
2;gpt-4o;4;7;1;1;0.8843;Yes;;;
2;gpt-4o;4;8;1;1;0.8843;Yes;;;
2;gpt-4o;4;9;0.5;0;0.5367;Yes;;;
2;gpt-4o;4;10;0.5;0.2;0.0241;Yes;;;
2;gpt-4o;5;1;1;1;0.8788;Yes;;;
2;gpt-4o;5;2;1;0;0.8295;Yes;;;
2;gpt-4o;5;3;0;0;0.7182;Yes;;;
2;gpt-4o;5;4;1;0;0.6478;Yes;;;
2;gpt-4o;5;5;1;0.3333;0.7015;Yes;;;
2;gpt-4o;5;6;1;1;-0.0181;Yes;;;
2;gpt-4o;5;7;1;1;0.0077;Yes;;;
2;gpt-4o;5;8;1;1;0.0458;Yes;;;
2;gpt-4o;5;9;0.5;0;0.6157;Yes;;;
2;gpt-4o;5;10;0.5;0.2;0.6203;Yes;;;
